127.0.0.1 - - [21/Nov/2018:23:00:03 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:00:03 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:00:04 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:00:04 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:01:08 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:01:08 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1450
127.0.0.1 - - [21/Nov/2018:23:01:17 -0800] "GET /Databaase/Sign_in.html HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:01:51 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:01:51 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:01:51 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1451
127.0.0.1 - - [21/Nov/2018:23:01:51 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:01:52 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:01:52 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:02:28 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:02:29 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1335
127.0.0.1 - - [21/Nov/2018:23:02:47 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:02:47 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1359
127.0.0.1 - - [21/Nov/2018:23:02:59 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:02:59 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1420
127.0.0.1 - - [21/Nov/2018:23:03:14 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:03:14 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1401
127.0.0.1 - - [21/Nov/2018:23:03:15 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:03:15 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:03:16 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:03:16 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:03:27 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:03:27 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1387
127.0.0.1 - - [21/Nov/2018:23:03:28 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:03:28 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:03:38 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:03:38 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1403
127.0.0.1 - - [21/Nov/2018:23:03:38 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:03:38 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:04:32 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:04:32 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1419
127.0.0.1 - - [21/Nov/2018:23:05:15 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:05:15 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1441
127.0.0.1 - - [21/Nov/2018:23:05:16 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:05:16 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:05:26 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:05:26 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1414
127.0.0.1 - - [21/Nov/2018:23:06:21 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:06:21 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:06:21 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 200 1438
127.0.0.1 - - [21/Nov/2018:23:06:21 -0800] "GET /Databaase/hanna.ttf HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:06:22 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
127.0.0.1 - - [21/Nov/2018:23:06:22 -0800] "GET /Databaase/mystyle.css HTTP/1.1" 304 -
127.0.0.1 - - [21/Nov/2018:23:08:02 -0800] "GET /Databaase/main.html HTTP/1.1" 200 556
